observation_date,DEXSDUS
1999-04-30,8.4450
1999-05-03,8.4630
1999-05-04,8.4720
1999-05-05,8.4000
1999-05-06,8.3300
1999-05-07,8.3130
1999-05-10,8.2885
1999-05-11,8.3580
1999-05-12,8.3950
1999-05-13,8.4250
1999-05-14,8.4175
1999-05-17,8.4250
1999-05-18,8.4375
1999-05-19,8.4610
1999-05-20,8.4450
1999-05-21,8.4890
1999-05-24,8.4710
1999-05-25,8.4875
1999-05-26,8.5730
1999-05-27,8.6140
1999-05-28,8.5980
1999-05-31,
1999-06-01,8.5980
1999-06-02,8.6405
1999-06-03,8.6460
1999-06-04,8.6500
1999-06-07,8.6340
1999-06-08,8.5250
1999-06-09,8.5570
1999-06-10,8.4930
1999-06-11,8.4555
1999-06-14,8.5025
1999-06-15,8.4875
1999-06-16,8.5320
1999-06-17,8.4765
1999-06-18,8.4340
1999-06-21,8.4120
1999-06-22,8.4350
1999-06-23,8.4290
1999-06-24,8.4430
1999-06-25,8.3920
1999-06-28,8.4535
1999-06-29,8.4650
1999-06-30,8.4810
1999-07-01,8.5430
1999-07-02,8.4950
1999-07-05,
1999-07-06,8.4970
1999-07-07,8.5025
1999-07-08,8.5580
1999-07-09,8.5700
1999-07-12,8.6120
1999-07-13,8.5925
1999-07-14,8.5860
1999-07-15,8.5690
1999-07-16,8.5525
1999-07-19,8.5250
1999-07-20,8.3950
1999-07-21,8.3390
1999-07-22,8.3595
1999-07-23,8.3650
1999-07-26,8.2720
1999-07-27,8.2780
1999-07-28,8.2640
1999-07-29,8.2090
1999-07-30,8.2220
1999-08-02,8.2120
1999-08-03,8.1780
1999-08-04,8.1420
1999-08-05,8.1420
1999-08-06,8.1680
1999-08-09,8.2240
1999-08-10,8.2100
1999-08-11,8.2550
1999-08-12,8.2680
1999-08-13,8.3100
1999-08-16,8.3020
1999-08-17,8.3100
1999-08-18,8.3350
1999-08-19,8.2470
1999-08-20,8.2290
1999-08-23,8.2900
1999-08-24,8.2850
1999-08-25,8.3360
1999-08-26,8.3550
1999-08-27,8.3250
1999-08-30,8.3440
1999-08-31,8.2290
1999-09-01,8.2120
1999-09-02,8.1620
1999-09-03,8.1960
1999-09-06,
1999-09-07,8.1700
1999-09-08,8.1500
1999-09-09,8.1600
1999-09-10,8.2620
1999-09-13,8.2175
1999-09-14,8.2850
1999-09-15,8.2980
1999-09-16,8.2980
1999-09-17,8.2820
1999-09-20,8.2420
1999-09-21,8.2320
1999-09-22,8.2230
1999-09-23,8.2500
1999-09-24,8.2390
1999-09-27,8.2650
1999-09-28,8.2150
1999-09-29,8.1950
1999-09-30,8.2010
1999-10-01,8.1495
1999-10-04,8.1470
1999-10-05,8.1180
1999-10-06,8.1375
1999-10-07,8.1300
1999-10-08,8.1800
1999-10-11,
1999-10-12,8.0940
1999-10-13,8.1075
1999-10-14,8.1095
1999-10-15,8.1050
1999-10-18,8.1650
1999-10-19,8.1360
1999-10-20,8.1700
1999-10-21,8.1210
1999-10-22,8.1400
1999-10-25,8.1350
1999-10-26,8.1600
1999-10-27,8.2050
1999-10-28,8.2510
1999-10-29,8.2225
1999-11-01,8.2545
1999-11-02,8.2440
1999-11-03,8.2730
1999-11-04,8.3420
1999-11-05,8.3310
1999-11-08,8.3450
1999-11-09,8.3220
1999-11-10,8.2975
1999-11-11,
1999-11-12,8.3760
1999-11-15,8.3600
1999-11-16,8.3920
1999-11-17,8.3010
1999-11-18,8.3710
1999-11-19,8.3450
1999-11-22,8.3425
1999-11-23,8.3800
1999-11-24,8.4360
1999-11-25,
1999-11-26,8.4640
1999-11-29,8.4820
1999-11-30,8.5130
1999-12-01,8.5600
1999-12-02,8.6000
1999-12-03,8.5665
1999-12-06,8.4170
1999-12-07,8.4150
1999-12-08,8.3500
1999-12-09,8.4060
1999-12-10,8.4675
1999-12-13,8.4970
1999-12-14,8.5390
1999-12-15,8.5270
1999-12-16,8.4690
1999-12-17,8.5010
1999-12-20,8.5400
1999-12-21,8.5060
1999-12-22,8.4950
1999-12-23,8.4350
1999-12-24,8.4500
1999-12-27,8.4640
1999-12-28,8.5130
1999-12-29,8.5300
1999-12-30,8.5400
1999-12-31,8.5050
2000-01-03,8.4430
2000-01-04,8.3600
2000-01-05,8.3530
2000-01-06,8.3675
2000-01-07,8.4150
2000-01-10,8.4490
2000-01-11,8.3970
2000-01-12,8.4180
2000-01-13,8.4170
2000-01-14,8.4740
2000-01-17,
2000-01-18,8.4680
2000-01-19,8.4870
2000-01-20,8.4680
2000-01-21,8.4930
2000-01-24,8.5260
2000-01-25,8.5210
2000-01-26,8.5285
2000-01-27,8.6150
2000-01-28,8.8200
2000-01-31,8.8150
2000-02-01,8.7680
2000-02-02,8.7080
2000-02-03,8.5770
2000-02-04,8.6630
2000-02-07,8.6600
2000-02-08,8.5950
2000-02-09,8.5440
2000-02-10,8.5850
2000-02-11,8.6080
2000-02-14,8.6790
2000-02-15,8.6800
2000-02-16,8.6695
2000-02-17,8.6800
2000-02-18,8.6725
2000-02-21,
2000-02-22,8.5395
2000-02-23,8.5770
2000-02-24,8.6190
2000-02-25,8.6950
2000-02-28,8.6895
2000-02-29,8.7500
2000-03-01,8.6865
2000-03-02,8.8050
2000-03-03,8.8150
2000-03-06,8.7865
2000-03-07,8.8040
2000-03-08,8.8510
2000-03-09,8.7235
2000-03-10,8.7200
2000-03-13,8.7180
2000-03-14,8.6970
2000-03-15,8.6915
2000-03-16,8.6940
2000-03-17,8.6660
2000-03-20,8.6425
2000-03-21,8.6500
2000-03-22,8.7110
2000-03-23,8.6450
2000-03-24,8.5775
2000-03-27,8.6465
2000-03-28,8.5675
2000-03-29,8.6675
2000-03-30,8.6330
2000-03-31,8.6350
2000-04-03,8.6780
2000-04-04,8.6910
2000-04-05,8.6225
2000-04-06,8.6610
2000-04-07,8.6420
2000-04-10,8.6100
2000-04-11,8.6340
2000-04-12,8.7020
2000-04-13,8.7230
2000-04-14,8.7000
2000-04-17,8.7200
2000-04-18,8.7440
2000-04-19,8.7980
2000-04-20,8.8000
2000-04-21,8.7860
2000-04-24,8.7800
2000-04-25,8.8480
2000-04-26,8.8850
2000-04-27,8.9808
2000-04-28,8.9670
2000-05-01,8.9183
2000-05-02,8.9410
2000-05-03,9.0770
2000-05-04,9.1040
2000-05-05,9.1030
2000-05-08,9.0950
2000-05-09,9.0592
2000-05-10,9.0575
2000-05-11,9.1600
2000-05-12,9.0920
2000-05-15,9.0630
2000-05-16,9.1030
2000-05-17,9.2010
2000-05-18,9.1323
2000-05-19,9.1575
2000-05-22,9.2220
2000-05-23,9.2100
2000-05-24,9.1750
2000-05-25,9.1650
2000-05-26,9.0100
2000-05-29,
2000-05-30,9.0020
2000-05-31,8.9870
2000-06-01,8.9680
2000-06-02,8.8245
2000-06-05,8.8050
2000-06-06,8.7110
2000-06-07,8.6560
2000-06-08,8.7580
2000-06-09,8.7450
2000-06-12,8.6910
2000-06-13,8.6120
2000-06-14,8.5330
2000-06-15,8.6250
2000-06-16,8.6015
2000-06-19,8.6200
2000-06-20,8.6425
2000-06-21,8.7190
2000-06-22,8.8050
2000-06-23,8.8500
2000-06-26,8.8910
2000-06-27,8.8725
2000-06-28,8.8640
2000-06-29,8.8220
2000-06-30,8.8210
2000-07-03,8.7925
2000-07-04,
2000-07-05,8.8300
2000-07-06,8.8660
2000-07-07,8.9150
2000-07-10,8.8855
2000-07-11,8.8906
2000-07-12,8.8925
2000-07-13,8.9410
2000-07-14,8.8980
2000-07-17,8.9680
2000-07-18,9.0000
2000-07-19,9.0810
2000-07-20,9.0200
2000-07-21,8.9965
2000-07-24,8.9825
2000-07-25,8.9440
2000-07-26,8.9460
2000-07-27,9.0985
2000-07-28,9.1600
2000-07-31,9.1720
2000-08-01,9.2170
2000-08-02,9.2590
2000-08-03,9.3350
2000-08-04,9.2460
2000-08-07,9.1825
2000-08-08,9.2445
2000-08-09,9.2500
2000-08-10,9.2010
2000-08-11,9.2180
2000-08-14,9.2050
2000-08-15,9.1530
2000-08-16,9.2040
2000-08-17,9.2050
2000-08-18,9.2630
2000-08-21,9.2920
2000-08-22,9.3350
2000-08-23,9.3320
2000-08-24,9.2790
2000-08-25,9.3110
2000-08-28,9.3450
2000-08-29,9.4110
2000-08-30,9.4400
2000-08-31,9.4450
2000-09-01,9.3380
2000-09-04,
2000-09-05,9.4725
2000-09-06,9.6575
2000-09-07,9.5600
2000-09-08,9.6515
2000-09-11,9.7310
2000-09-12,9.7660
2000-09-13,9.7220
2000-09-14,9.7550
2000-09-15,9.7960
2000-09-18,9.8290
2000-09-19,9.8475
2000-09-20,9.8750
2000-09-21,9.8150
2000-09-22,9.6250
2000-09-25,9.6660
2000-09-26,9.6230
2000-09-27,9.6590
2000-09-28,9.6885
2000-09-29,9.6280
2000-10-02,9.6933
2000-10-03,9.7800
2000-10-04,9.8000
2000-10-05,9.8292
2000-10-06,9.8400
2000-10-09,
2000-10-10,9.9190
2000-10-11,9.8650
2000-10-12,9.9050
2000-10-13,9.9350
2000-10-16,10.0130
2000-10-17,10.0070
2000-10-18,10.1150
2000-10-19,10.0650
2000-10-20,10.1200
2000-10-23,10.1130
2000-10-24,10.1280
2000-10-25,10.2450
2000-10-26,10.3000
2000-10-27,10.1238
2000-10-30,10.0600
2000-10-31,9.9970
2000-11-01,9.8920
2000-11-02,9.9120
2000-11-03,9.9150
2000-11-06,9.9980
2000-11-07,10.0010
2000-11-08,10.0000
2000-11-09,10.0220
2000-11-10,9.9685
2000-11-13,10.0480
2000-11-14,10.1048
2000-11-15,10.0940
2000-11-16,10.1400
2000-11-17,10.1700
2000-11-20,10.2136
2000-11-21,10.3010
2000-11-22,10.3020
2000-11-23,
2000-11-24,10.3600
2000-11-27,10.2425
2000-11-28,10.1694
2000-11-29,10.1330
2000-11-30,10.0400
2000-12-01,9.9000
2000-12-04,9.7250
2000-12-05,9.7420
2000-12-06,9.6300
2000-12-07,9.7130
2000-12-08,9.7350
2000-12-11,9.7205
2000-12-12,9.7195
2000-12-13,9.7920
2000-12-14,9.6800
2000-12-15,9.6000
2000-12-18,9.6800
2000-12-19,9.7810
2000-12-20,9.5900
2000-12-21,9.5870
2000-12-22,9.5390
2000-12-25,
2000-12-26,9.5020
2000-12-27,9.5725
2000-12-28,9.5550
2000-12-29,9.4440
2001-01-01,
2001-01-02,9.4150
2001-01-03,9.4450
2001-01-04,9.4220
2001-01-05,9.3380
2001-01-08,9.4180
2001-01-09,9.4980
2001-01-10,9.4325
2001-01-11,9.3250
2001-01-12,9.3440
2001-01-15,
2001-01-16,9.5050
2001-01-17,9.5650
2001-01-18,9.4300
2001-01-19,9.4630
2001-01-22,9.5180
2001-01-23,9.5320
2001-01-24,9.6220
2001-01-25,9.6900
2001-01-26,9.6310
2001-01-29,9.6442
2001-01-30,9.5510
2001-01-31,9.5227
2001-02-01,9.4890
2001-02-02,9.5125
2001-02-05,9.5100
2001-02-06,9.5670
2001-02-07,9.5375
2001-02-08,9.6720
2001-02-09,9.6325
2001-02-12,9.6620
2001-02-13,9.7975
2001-02-14,9.8330
2001-02-15,9.8820
2001-02-16,9.8020
2001-02-19,
2001-02-20,9.8765
2001-02-21,9.9400
2001-02-22,9.9730
2001-02-23,9.9530
2001-02-26,9.9220
2001-02-27,9.9080
2001-02-28,9.8150
2001-03-01,9.7325
2001-03-02,9.6820
2001-03-05,9.7450
2001-03-06,9.6730
2001-03-07,9.7520
2001-03-08,9.7460
2001-03-09,9.7575
2001-03-12,9.8300
2001-03-13,10.0135
2001-03-14,10.0101
2001-03-15,10.0980
2001-03-16,10.2490
2001-03-19,10.1950
2001-03-20,10.1260
2001-03-21,10.2540
2001-03-22,10.4300
2001-03-23,10.2530
2001-03-26,10.2220
2001-03-27,10.2370
2001-03-28,10.3410
2001-03-29,10.4075
2001-03-30,10.3800
2001-04-02,10.3850
2001-04-03,10.2720
2001-04-04,10.2340
2001-04-05,10.1910
2001-04-06,10.1150
2001-04-09,10.1310
2001-04-10,10.1750
2001-04-11,10.2100
2001-04-12,10.1280
2001-04-13,10.1750
2001-04-16,10.1930
2001-04-17,10.2902
2001-04-18,10.2800
2001-04-19,10.1370
2001-04-20,10.0820
2001-04-23,10.2120
2001-04-24,10.2530
2001-04-25,10.2230
2001-04-26,10.1345
2001-04-27,10.1925
2001-04-30,10.2600
2001-05-01,10.2080
2001-05-02,10.2360
2001-05-03,10.2700
2001-05-04,10.2000
2001-05-07,10.2360
2001-05-08,10.2930
2001-05-09,10.2840
2001-05-10,10.2900
2001-05-11,10.2580
2001-05-14,10.3250
2001-05-15,10.2530
2001-05-16,10.2680
2001-05-17,10.2230
2001-05-18,10.2500
2001-05-21,10.2425
2001-05-22,10.3700
2001-05-23,10.5070
2001-05-24,10.5250
2001-05-25,10.5350
2001-05-28,
2001-05-29,10.5730
2001-05-30,10.5920
2001-05-31,10.7900
2001-06-01,10.8510
2001-06-04,10.9225
2001-06-05,10.8300
2001-06-06,10.9240
2001-06-07,10.9500
2001-06-08,10.9350
2001-06-11,11.0270
2001-06-12,11.0020
2001-06-13,10.7900
2001-06-14,10.7070
2001-06-15,10.5700
2001-06-18,10.5120
2001-06-19,10.6260
2001-06-20,10.7200
2001-06-21,10.7435
2001-06-22,10.7045
2001-06-25,10.6420
2001-06-26,10.7315
2001-06-27,10.7350
2001-06-28,10.8500
2001-06-29,10.8810
2001-07-02,10.9550
2001-07-03,10.8700
2001-07-04,
2001-07-05,11.0000
2001-07-06,10.9550
2001-07-09,10.9720
2001-07-10,10.8400
2001-07-11,10.8080
2001-07-12,10.8600
2001-07-13,10.8130
2001-07-16,10.7640
2001-07-17,10.7760
2001-07-18,10.6050
2001-07-19,10.6580
2001-07-20,10.6480
2001-07-23,10.7180
2001-07-24,10.6580
2001-07-25,10.6280
2001-07-26,10.6180
2001-07-27,10.5900
2001-07-30,10.6050
2001-07-31,10.6250
2001-08-01,10.5720
2001-08-02,10.4755
2001-08-03,10.3730
2001-08-06,10.4220
2001-08-07,10.4355
2001-08-08,10.4220
2001-08-09,10.3010
2001-08-10,10.2875
2001-08-13,10.2740
2001-08-14,10.2300
2001-08-15,10.1560
2001-08-16,10.1680
2001-08-17,10.1725
2001-08-20,10.3740
2001-08-21,10.3550
2001-08-22,10.2575
2001-08-23,10.3040
2001-08-24,10.2790
2001-08-27,10.2900
2001-08-28,10.3250
2001-08-29,10.3820
2001-08-30,10.3700
2001-08-31,10.4310
2001-09-03,
2001-09-04,10.7150
2001-09-05,10.6400
2001-09-06,10.5850
2001-09-07,10.5430
2001-09-10,10.6300
2001-09-11,
2001-09-12,10.5700
2001-09-13,10.5585
2001-09-14,10.5103
2001-09-17,10.4975
2001-09-18,10.5522
2001-09-19,10.4653
2001-09-20,10.5899
2001-09-21,10.9016
2001-09-24,10.8193
2001-09-25,10.7032
2001-09-26,10.7472
2001-09-27,10.7207
2001-09-28,10.6871
2001-10-01,10.6207
2001-10-02,10.6661
2001-10-03,10.6166
2001-10-04,10.6219
2001-10-05,10.5845
2001-10-08,
2001-10-09,10.5260
2001-10-10,10.5850
2001-10-11,10.5575
2001-10-12,10.4580
2001-10-15,10.4485
2001-10-16,10.4330
2001-10-17,10.4080
2001-10-18,10.4625
2001-10-19,10.5540
2001-10-22,10.6920
2001-10-23,10.6520
2001-10-24,10.6060
2001-10-25,10.5680
2001-10-26,10.5825
2001-10-29,10.5175
2001-10-30,10.6220
2001-10-31,10.6710
2001-11-01,10.5800
2001-11-02,10.5758
2001-11-05,10.5990
2001-11-06,10.5580
2001-11-07,10.4685
2001-11-08,10.5360
2001-11-09,10.5603
2001-11-12,
2001-11-13,10.6240
2001-11-14,10.5910
2001-11-15,10.5850
2001-11-16,10.6020
2001-11-19,10.6760
2001-11-20,10.6580
2001-11-21,10.6975
2001-11-22,
2001-11-23,10.6680
2001-11-26,10.6200
2001-11-27,10.6300
2001-11-28,10.6560
2001-11-29,10.6750
2001-11-30,10.6740
2001-12-03,10.7285
2001-12-04,10.6600
2001-12-05,10.6100
2001-12-06,10.4980
2001-12-07,10.4610
2001-12-10,10.5040
2001-12-11,10.5160
2001-12-12,10.4910
2001-12-13,10.4380
2001-12-14,10.4930
2001-12-17,10.4550
2001-12-18,10.4930
2001-12-19,10.4990
2001-12-20,10.5930
2001-12-21,10.6780
2001-12-24,10.8230
2001-12-25,
2001-12-26,10.8430
2001-12-27,10.7050
2001-12-28,10.5600
2001-12-31,10.4571
2002-01-01,
2002-01-02,10.2690
2002-01-03,10.2925
2002-01-04,10.3120
2002-01-07,10.3325
2002-01-08,10.3950
2002-01-09,10.3950
2002-01-10,10.2940
2002-01-11,10.2960
2002-01-14,10.3420
2002-01-15,10.3485
2002-01-16,10.4750
2002-01-17,10.5290
2002-01-18,10.4350
2002-01-21,
2002-01-22,10.4800
2002-01-23,10.4770
2002-01-24,10.5170
2002-01-25,10.6750
2002-01-28,10.7290
2002-01-29,10.6625
2002-01-30,10.6506
2002-01-31,10.6720
2002-02-01,10.6800
2002-02-04,10.6390
2002-02-05,10.6575
2002-02-06,10.6100
2002-02-07,10.6345
2002-02-08,10.6010
2002-02-11,10.5550
2002-02-12,10.5670
2002-02-13,10.5850
2002-02-14,10.5475
2002-02-15,10.5000
2002-02-18,
2002-02-19,10.4950
2002-02-20,10.5650
2002-02-21,10.4995
2002-02-22,10.4450
2002-02-25,10.4360
2002-02-26,10.4690
2002-02-27,10.4950
2002-02-28,10.4700
2002-03-01,10.5000
2002-03-04,10.3925
2002-03-05,10.3890
2002-03-06,10.3160
2002-03-07,10.3090
2002-03-08,10.3720
2002-03-11,10.3530
2002-03-12,10.3940
2002-03-13,10.4075
2002-03-14,10.3600
2002-03-15,10.3370
2002-03-18,10.2850
2002-03-19,10.2650
2002-03-20,10.2090
2002-03-21,10.1975
2002-03-22,10.2550
2002-03-25,10.2765
2002-03-26,10.2760
2002-03-27,10.3510
2002-03-28,10.3720
2002-03-29,10.3630
2002-04-01,10.2370
2002-04-02,10.2810
2002-04-03,10.3020
2002-04-04,10.3250
2002-04-05,10.2500
2002-04-08,10.3675
2002-04-09,10.3275
2002-04-10,10.3550
2002-04-11,10.2840
2002-04-12,10.3155
2002-04-15,10.3635
2002-04-16,10.3820
2002-04-17,10.2900
2002-04-18,10.3290
2002-04-19,10.2900
2002-04-22,10.3685
2002-04-23,10.3210
2002-04-24,10.3130
2002-04-25,10.2785
2002-04-26,10.2730
2002-04-29,10.2220
2002-04-30,10.2800
2002-05-01,10.2190
2002-05-02,10.2620
2002-05-03,10.1580
2002-05-06,10.1160
2002-05-07,10.2590
2002-05-08,10.2950
2002-05-09,10.2280
2002-05-10,10.2410
2002-05-13,10.2690
2002-05-14,10.2520
2002-05-15,10.1600
2002-05-16,10.1500
2002-05-17,10.0170
2002-05-20,9.9955
2002-05-21,9.9830
2002-05-22,9.8690
2002-05-23,9.8860
2002-05-24,9.9080
2002-05-27,
2002-05-28,9.8640
2002-05-29,9.8150
2002-05-30,9.7210
2002-05-31,9.7445
2002-06-03,9.6900
2002-06-04,9.7000
2002-06-05,9.7320
2002-06-06,9.6940
2002-06-07,9.7560
2002-06-10,9.7325
2002-06-11,9.6860
2002-06-12,9.6850
2002-06-13,9.7000
2002-06-14,9.6840
2002-06-17,9.5920
2002-06-18,9.5640
2002-06-19,9.5300
2002-06-20,9.3860
2002-06-21,9.3277
2002-06-24,9.2625
2002-06-25,9.3400
2002-06-26,9.2710
2002-06-27,9.2125
2002-06-28,9.2070
2002-07-01,9.1990
2002-07-02,9.2140
2002-07-03,9.2860
2002-07-04,
2002-07-05,9.3750
2002-07-08,9.2950
2002-07-09,9.2875
2002-07-10,9.3950
2002-07-11,9.3530
2002-07-12,9.3220
2002-07-15,9.1990
2002-07-16,9.2440
2002-07-17,9.2330
2002-07-18,9.2450
2002-07-19,9.2300
2002-07-22,9.4055
2002-07-23,9.5530
2002-07-24,9.5685
2002-07-25,9.4200
2002-07-26,9.4480
2002-07-29,9.4780
2002-07-30,9.3770
2002-07-31,9.5150
2002-08-01,9.5520
2002-08-02,9.5720
2002-08-05,9.5560
2002-08-06,9.6855
2002-08-07,9.5870
2002-08-08,9.6500
2002-08-09,9.5600
2002-08-12,9.5080
2002-08-13,9.4490
2002-08-14,9.3720
2002-08-15,9.4080
2002-08-16,9.3840
2002-08-19,9.4440
2002-08-20,9.4050
2002-08-21,9.3470
2002-08-22,9.4980
2002-08-23,9.4570
2002-08-26,9.3850
2002-08-27,9.2875
2002-08-28,9.3070
2002-08-29,9.3280
2002-08-30,9.4000
2002-09-02,
2002-09-03,9.3690
2002-09-04,9.3500
2002-09-05,9.3460
2002-09-06,9.3696
2002-09-09,9.3725
2002-09-10,9.4255
2002-09-11,9.4160
2002-09-12,9.4190
2002-09-13,9.4520
2002-09-16,9.3640
2002-09-17,9.4130
2002-09-18,9.3030
2002-09-19,9.2430
2002-09-20,9.1930
2002-09-23,9.2430
2002-09-24,9.2680
2002-09-25,9.3053
2002-09-26,9.3710
2002-09-27,9.3040
2002-09-30,9.2740
2002-10-01,9.2190
2002-10-02,9.2210
2002-10-03,9.1980
2002-10-04,9.2580
2002-10-07,9.2750
2002-10-08,9.3530
2002-10-09,9.2900
2002-10-10,9.2775
2002-10-11,9.2460
2002-10-14,
2002-10-15,9.2410
2002-10-16,9.2420
2002-10-17,9.3825
2002-10-18,9.3840
2002-10-21,9.3350
2002-10-22,9.3445
2002-10-23,9.3850
2002-10-24,9.3700
2002-10-25,9.3405
2002-10-28,9.2420
2002-10-29,9.2505
2002-10-30,9.2180
2002-10-31,9.1885
2002-11-01,9.1300
2002-11-04,9.1650
2002-11-05,9.1460
2002-11-06,9.1370
2002-11-07,9.0515
2002-11-08,8.9708
2002-11-11,
2002-11-12,8.9880
2002-11-13,9.0150
2002-11-14,9.0530
2002-11-15,9.0100
2002-11-18,8.9890
2002-11-19,8.9970
2002-11-20,9.0500
2002-11-21,9.0180
2002-11-22,9.0395
2002-11-25,9.0970
2002-11-26,9.1365
2002-11-27,9.1690
2002-11-28,
2002-11-29,9.0760
2002-12-02,9.0745
2002-12-03,9.0640
2002-12-04,9.0750
2002-12-05,9.0700
2002-12-06,9.0090
2002-12-09,9.0120
2002-12-10,9.0300
2002-12-11,9.0210
2002-12-12,8.9445
2002-12-13,8.9430
2002-12-16,8.9020
2002-12-17,8.8695
2002-12-18,8.8680
2002-12-19,8.9160
2002-12-20,8.8650
2002-12-23,8.9300
2002-12-24,8.8640
2002-12-25,
2002-12-26,8.8110
2002-12-27,8.8130
2002-12-30,8.7600
2002-12-31,8.6950
2003-01-01,
2003-01-02,8.7920
2003-01-03,8.7170
2003-01-06,8.6770
2003-01-07,8.6950
2003-01-08,8.6940
2003-01-09,8.7130
2003-01-10,8.6780
2003-01-13,8.6985
2003-01-14,8.6720
2003-01-15,8.6700
2003-01-16,8.6760
2003-01-17,8.6245
2003-01-20,
2003-01-21,8.6560
2003-01-22,8.6230
2003-01-23,8.6000
2003-01-24,8.5250
2003-01-27,8.5250
2003-01-28,8.5330
2003-01-29,8.4750
2003-01-30,8.5150
2003-01-31,8.6140
2003-02-03,8.5650
2003-02-04,8.4930
2003-02-05,8.5350
2003-02-06,8.4750
2003-02-07,8.4900
2003-02-10,8.5450
2003-02-11,8.5120
2003-02-12,8.5245
2003-02-13,8.4100
2003-02-14,8.4430
2003-02-17,
2003-02-18,8.5240
2003-02-19,8.4770
2003-02-20,8.4110
2003-02-21,8.4600
2003-02-24,8.4650
2003-02-25,8.4530
2003-02-26,8.4210
2003-02-27,8.4820
2003-02-28,8.5050
2003-03-03,8.4970
2003-03-04,8.4250
2003-03-05,8.3780
2003-03-06,8.3650
2003-03-07,8.3730
2003-03-10,8.3670
2003-03-11,8.4490
2003-03-12,8.4310
2003-03-13,8.5000
2003-03-14,8.5770
2003-03-17,8.6680
2003-03-18,8.6990
2003-03-19,8.6750
2003-03-20,8.6390
2003-03-21,8.7030
2003-03-24,8.6750
2003-03-25,8.6730
2003-03-26,8.6530
2003-03-27,8.6425
2003-03-28,8.5610
2003-03-31,8.4735
2003-04-01,8.4830
2003-04-02,8.5850
2003-04-03,8.5650
2003-04-04,8.5927
2003-04-07,8.6425
2003-04-08,8.5680
2003-04-09,8.5270
2003-04-10,8.4750
2003-04-11,8.4900
2003-04-14,8.4730
2003-04-15,8.4840
2003-04-16,8.4240
2003-04-17,8.4020
2003-04-18,8.4125
2003-04-21,8.4200
2003-04-22,8.3350
2003-04-23,8.3190
2003-04-24,8.2500
2003-04-25,8.2640
2003-04-28,8.3230
2003-04-29,8.2850
2003-04-30,8.1700
2003-05-01,8.1180
2003-05-02,8.1470
2003-05-05,8.0670
2003-05-06,8.0055
2003-05-07,8.0250
2003-05-08,7.9650
2003-05-09,7.9720
2003-05-12,7.9440
2003-05-13,7.9810
2003-05-14,7.9820
2003-05-15,7.9958
2003-05-16,7.9250
2003-05-19,7.8570
2003-05-20,7.8650
2003-05-21,7.8260
2003-05-22,7.8285
2003-05-23,7.7920
2003-05-26,
2003-05-27,7.7530
2003-05-28,7.7860
2003-05-29,7.7479
2003-05-30,7.7654
2003-06-02,7.7730
2003-06-03,7.7945
2003-06-04,7.8008
2003-06-05,7.6745
2003-06-06,7.7990
2003-06-09,7.7745
2003-06-10,7.7990
2003-06-11,7.7275
2003-06-12,7.7250
2003-06-13,7.6835
2003-06-16,7.6710
2003-06-17,7.6780
2003-06-18,7.7460
2003-06-19,7.7668
2003-06-20,7.8120
2003-06-23,7.8920
2003-06-24,7.9620
2003-06-25,7.9100
2003-06-26,8.0260
2003-06-27,8.0310
2003-06-30,7.9985
2003-07-01,7.9660
2003-07-02,7.9795
2003-07-03,7.9752
2003-07-04,
2003-07-07,8.1336
2003-07-08,8.1260
2003-07-09,8.0890
